iteration 1 max error 11.488971 
iteration 2 max error 7.133656 
iteration 3 max error 6.324659 
iteration 4 max error 5.635726 
iteration 5 max error 5.038824 
iteration 6 max error 4.512494 
iteration 7 max error 4.045202 
iteration 8 max error 3.628693 
iteration 9 max error 3.256548 
iteration 10 max error 2.923567 
-53.9883 -51.7539 -49.9371 -48.2802 -46.7333
 -53.987 -51.7529 -49.9362 -48.2793 -46.7325
-53.9857 -51.7519 -49.9352 -48.2785 -46.7317
-53.9843 -51.7509 -49.9343 -48.2776 -46.7309
 -53.983 -51.7499 -49.9334 -48.2768   -46.73
-53.9817 -51.7488 -49.9325  -48.276 -46.7292
-53.9804 -51.7478 -49.9316 -48.2751 -46.7284
 -53.979 -51.7468 -49.9307 -48.2743 -46.7276
-53.9777 -51.7458 -49.9298 -48.2734 -46.7268
-53.9764 -51.7448 -49.9289 -48.2726  -46.726
 -53.975 -51.7437 -49.9279 -48.2717 -46.7252
-53.9737 -51.7427  -49.927 -48.2709 -46.7244
-53.9724 -51.7417 -49.9261   -48.27 -46.7236
 -53.971 -51.7407 -49.9252 -48.2692 -46.7228
-53.9697 -51.7397 -49.9243 -48.2683  -46.722
-53.9684 -51.7386 -49.9234 -48.2675 -46.7212
-53.9671 -51.7376 -49.9225 -48.2667 -46.7204
-53.9657 -51.7366 -49.9216 -48.2658 -46.7196
-53.9644 -51.7356 -49.9207  -48.265 -46.7188
-53.9631 -51.7346 -49.9197 -48.2641  -46.718
-53.9617 -51.7335 -49.9188 -48.2633 -46.7172
-53.9604 -51.7325 -49.9179 -48.2624 -46.7164
-53.9591 -51.7315  -49.917 -48.2616 -46.7156
-53.9578 -51.7305 -49.9161 -48.2607 -46.7148
-53.9564 -51.7295 -49.9152 -48.2599  -46.714
-53.9551 -51.7284 -49.9143 -48.2591 -46.7132
-53.9538 -51.7274 -49.9134 -48.2582 -46.7124
-53.9525 -51.7264 -49.9124 -48.2574 -46.7116
-53.9511 -51.7254 -49.9115 -48.2565 -46.7108
-53.9498 -51.7244 -49.9106 -48.2557   -46.71
-53.9485 -51.7234 -49.9097 -48.2548 -46.7092
-53.9471 -51.7223 -49.9088  -48.254 -46.7084
-53.9458 -51.7213 -49.9079 -48.2531 -46.7076
-53.9445 -51.7203  -49.907 -48.2523 -46.7068
-53.9432 -51.7193 -49.9061 -48.2514  -46.706
-53.9418 -51.7183 -49.9052 -48.2506 -46.7052
-53.9405 -51.7172 -49.9043 -48.2498 -46.7044
-53.9392 -51.7162 -49.9033 -48.2489 -46.7036
-53.9379 -51.7152 -49.9024 -48.2481 -46.7028
-53.9365 -51.7142 -49.9015 -48.2472  -46.702
-53.9352 -51.7132 -49.9006 -48.2464 -46.7012
-53.9339 -51.7122 -49.8997 -48.2455 -46.7004
-53.9326 -51.7112 -49.8988 -48.2447 -46.6996
-53.9313 -51.7101 -49.8979 -48.2438 -46.6988
-53.9299 -51.7091  -49.897  -48.243  -46.698
-53.9286 -51.7081 -49.8961 -48.2422 -46.6972
-53.9273 -51.7071 -49.8951 -48.2413 -46.6964
 -53.926 -51.7061 -49.8942 -48.2405 -46.6956
-53.9246 -51.7051 -49.8933 -48.2396 -46.6948
-53.9233  -51.704 -49.8924 -48.2388  -46.694
 -53.922  -51.703 -49.8915 -48.2379 -46.6932
-53.9207  -51.702 -49.8906 -48.2371 -46.6924
-53.9194  -51.701 -49.8897 -48.2362 -46.6916
 -53.918    -51.7 -49.8888 -48.2354 -46.6908
-53.9167  -51.699 -49.8879 -48.2346   -46.69
-53.9154  -51.698  -49.887 -48.2337 -46.6892
-53.9141 -51.6969  -49.886 -48.2329 -46.6884
-53.9127 -51.6959 -49.8851  -48.232 -46.6876
-53.9114 -51.6949 -49.8842 -48.2312 -46.6868
-53.9101 -51.6939 -49.8833 -48.2303  -46.686
-53.9088 -51.6929 -49.8824 -48.2295 -46.6852
-53.9075 -51.6919 -49.8815 -48.2287 -46.6844
-53.9061 -51.6909 -49.8806 -48.2278 -46.6836
-53.9048 -51.6898 -49.8797  -48.227 -46.6828
-53.9035 -51.6888 -49.8788 -48.2261  -46.682
-53.9022 -51.6878 -49.8779 -48.2253 -46.6812
-53.9009 -51.6868 -49.8769 -48.2244 -46.6804
-53.8995 -51.6858  -49.876 -48.2236 -46.6796
-53.8982 -51.6848 -49.8751 -48.2227 -46.6788
-53.8969 -51.6838 -49.8742 -48.2219  -46.678
-53.8956 -51.6828 -49.8733 -48.2211 -46.6772
-53.8943 -51.6817 -49.8724 -48.2202 -46.6764
 -53.893 -51.6807 -49.8715 -48.2194 -46.6756
-53.8916 -51.6797 -49.8706 -48.2185 -46.6748
-53.8903 -51.6787 -49.8697 -48.2177  -46.674
 -53.889 -51.6777 -49.8688 -48.2168 -46.6732
-53.8877 -51.6767 -49.8679  -48.216 -46.6724
-53.8864 -51.6757 -49.8669 -48.2152 -46.6716
-53.8851 -51.6747  -49.866 -48.2143 -46.6708
-53.8837 -51.6737 -49.8651 -48.2135   -46.67
-53.8824 -51.6726 -49.8642 -48.2126 -46.6692
-53.8811 -51.6716 -49.8633 -48.2118 -46.6684
-53.8798 -51.6706 -49.8624 -48.2109 -46.6676
-53.8785 -51.6696 -49.8615 -48.2101 -46.6668
-53.8772 -51.6686 -49.8606 -48.2093  -46.666
-53.8758 -51.6676 -49.8597 -48.2084 -46.6652
-53.8745 -51.6666 -49.8588 -48.2076 -46.6644
-53.8732 -51.6656 -49.8579 -48.2067 -46.6636
-53.8719 -51.6646  -49.857 -48.2059 -46.6628
-53.8706 -51.6636  -49.856  -48.205  -46.662
-53.8693 -51.6625 -49.8551 -48.2042 -46.6612
 -53.868 -51.6615 -49.8542 -48.2033 -46.6604
-53.8666 -51.6605 -49.8533 -48.2025 -46.6596
-53.8653 -51.6595 -49.8524 -48.2017 -46.6588
 -53.864 -51.6585 -49.8515 -48.2008  -46.658
-53.8627 -51.6575 -49.8506    -48.2 -46.6572
-53.8614 -51.6565 -49.8497 -48.1991 -46.6564
-53.8601 -51.6555 -49.8488 -48.1983 -46.6556
-53.8588 -51.6545 -49.8479 -48.1974 -46.6548
-53.8574 -51.6535  -49.847 -48.1966  -46.654
-53.8561 -51.6525 -49.8461 -48.1958 -46.6532
-53.8548 -51.6514 -49.8451 -48.1949 -46.6524
-53.8535 -51.6504 -49.8442 -48.1941 -46.6516
-53.8522 -51.6494 -49.8433 -48.1932 -46.6508
-53.8509 -51.6484 -49.8424 -48.1924   -46.65
-53.8496 -51.6474 -49.8415 -48.1915 -46.6492
-53.8483 -51.6464 -49.8406 -48.1907 -46.6484
-53.8469 -51.6454 -49.8397 -48.1899 -46.6476
-53.8456 -51.6444 -49.8388  -48.189 -46.6468
-53.8443 -51.6434 -49.8379 -48.1882  -46.646
 -53.843 -51.6424  -49.837 -48.1873 -46.6452
-53.8417 -51.6414 -49.8361 -48.1865 -46.6444
-53.8404 -51.6404 -49.8352 -48.1857 -46.6436
-53.8391 -51.6394 -49.8343 -48.1848 -46.6428
-53.8378 -51.6384 -49.8334  -48.184  -46.642
-53.8365 -51.6374 -49.8324 -48.1831 -46.6413
-53.8352 -51.6363 -49.8315 -48.1823 -46.6405
-53.8338 -51.6353 -49.8306 -48.1814 -46.6397
-53.8325 -51.6343 -49.8297 -48.1806 -46.6389
-53.8312 -51.6333 -49.8288 -48.1798 -46.6381
-53.8299 -51.6323 -49.8279 -48.1789 -46.6373
-53.8286 -51.6313  -49.827 -48.1781 -46.6365
-53.8273 -51.6303 -49.8261 -48.1772 -46.6357
 -53.826 -51.6293 -49.8252 -48.1764 -46.6349
-53.8247 -51.6283 -49.8243 -48.1755 -46.6341
-53.8234 -51.6273 -49.8234 -48.1747 -46.6333
-53.8221 -51.6263 -49.8225 -48.1739 -46.6325
-53.8208 -51.6253 -49.8216  -48.173 -46.6317
-53.8195 -51.6243 -49.8207 -48.1722 -46.6309
-53.8181 -51.6233 -49.8197 -48.1713 -46.6301
-53.8168 -51.6223 -49.8188 -48.1705 -46.6293
-53.8155 -51.6213 -49.8179 -48.1697 -46.6285
-53.8142 -51.6203  -49.817 -48.1688 -46.6277
-53.8129 -51.6193 -49.8161  -48.168 -46.6269
-53.8116 -51.6183 -49.8152 -48.1671 -46.6261
-53.8103 -51.6173 -49.8143 -48.1663 -46.6253
 -53.809 -51.6163 -49.8134 -48.1654 -46.6245
-53.8077 -51.6153 -49.8125 -48.1646 -46.6237
-53.8064 -51.6143 -49.8116 -48.1638 -46.6229
-53.8051 -51.6133 -49.8107 -48.1629 -46.6221
-53.8038 -51.6122 -49.8098 -48.1621 -46.6213
-53.8025 -51.6112 -49.8089 -48.1612 -46.6205
-53.8012 -51.6102  -49.808 -48.1604 -46.6197
-53.7999 -51.6092 -49.8071 -48.1596 -46.6189
-53.7986 -51.6082 -49.8062 -48.1587 -46.6181
-53.7973 -51.6072 -49.8052 -48.1579 -46.6173
 -53.796 -51.6062 -49.8043  -48.157 -46.6165
-53.7947 -51.6052 -49.8034 -48.1562 -46.6157
-53.7933 -51.6042 -49.8025 -48.1553 -46.6149
 -53.792 -51.6032 -49.8016 -48.1545 -46.6141
-53.7907 -51.6022 -49.8007 -48.1537 -46.6133
-53.7894 -51.6012 -49.7998 -48.1528 -46.6125
-53.7881 -51.6002 -49.7989  -48.152 -46.6117
-53.7868 -51.5992  -49.798 -48.1511 -46.6109
-53.7855 -51.5982 -49.7971 -48.1503 -46.6101
-53.7842 -51.5972 -49.7962 -48.1495 -46.6093
-53.7829 -51.5962 -49.7953 -48.1486 -46.6085
-53.7816 -51.5952 -49.7944 -48.1478 -46.6077
-53.7803 -51.5942 -49.7935 -48.1469 -46.6069
 -53.779 -51.5932 -49.7926 -48.1461 -46.6061
-53.7777 -51.5922 -49.7917 -48.1452 -46.6053
-53.7764 -51.5912 -49.7908 -48.1444 -46.6045
-53.7751 -51.5902 -49.7899 -48.1436 -46.6037
-53.7738 -51.5892 -49.7889 -48.1427 -46.6029
-53.7725 -51.5882  -49.788 -48.1419 -46.6021
-53.7712 -51.5872 -49.7871  -48.141 -46.6014
-53.7699 -51.5862 -49.7862 -48.1402 -46.6006
-53.7686 -51.5852 -49.7853 -48.1394 -46.5998
-53.7673 -51.5842 -49.7844 -48.1385  -46.599
 -53.766 -51.5832 -49.7835 -48.1377 -46.5982
-53.7647 -51.5822 -49.7826 -48.1368 -46.5974
-53.7634 -51.5812 -49.7817  -48.136 -46.5966
-53.7621 -51.5802 -49.7808 -48.1352 -46.5958
-53.7608 -51.5792 -49.7799 -48.1343  -46.595
-53.7595 -51.5782  -49.779 -48.1335 -46.5942
-53.7582 -51.5773 -49.7781 -48.1326 -46.5934
-53.7569 -51.5763 -49.7772 -48.1318 -46.5926
-53.7556 -51.5753 -49.7763  -48.131 -46.5918
-53.7543 -51.5743 -49.7754 -48.1301  -46.591
 -53.753 -51.5733 -49.7745 -48.1293 -46.5902
-53.7517 -51.5723 -49.7736 -48.1284 -46.5894
-53.7504 -51.5713 -49.7727 -48.1276 -46.5886
-53.7491 -51.5703 -49.7718 -48.1268 -46.5878
-53.7478 -51.5693 -49.7709 -48.1259  -46.587
-53.7466 -51.5683   -49.77 -48.1251 -46.5862
-53.7453 -51.5673  -49.769 -48.1242 -46.5854
 -53.744 -51.5663 -49.7681 -48.1234 -46.5846
